,tweets,clusterID
175, hopefully we can all work together next year to continue delivering for the american people  ,10
176, holds a news conference following   ,10
177,in a statement on midterms2018 former president  congratulated everybody who showed up and participa  ,10
178,heres a rundown of whats likely to happen by june 19 the last day of session for the new york legislature and w  ,10
179,heres a rundown of whats likely to happen by june 19 the last day of session for the new york legislature and w  ,10
180,  from antieu nationalists to the green wave   wraps up the euelectionresults in 28 countries    tap to expa,10
181, all that talk about a blue wave all the talk about the american people rising up as one to repudiate  ,10
182,  democrats gear up for 2020 presidential race  from specialrepo tonight      ,10
183,116th us congress convenes with a democratic majority in the house and the most diverse group of lawmakers ever wi  ,10
184,dozens of bomb threats being reported at news outlets government buildings banks libraries other businesses acr  ,10
185, holds a news conference following   ,10
186, i do think voting against kavanaugh was a mistake   ,10
187, i think the results show you cant have someone too far to the left you have to find someone who c  ,10
188,bryan steil im optimistic that we can keep delivering results in washington under the leadership of president tr  ,10
189, were certainly going to try to help the president achieve what hed like to do with regard to the  ,10
190, i just think that the president has put everybody in a great position to talk about this histori  ,10
191, i actually think democrats are really going to overplay their hand in the house   ,10
192,deputy  rosenstein heading to  for previously scheduled 4 pm meeting    ,10
193, on kavanaugh effect kavanaugh happened that closed the gap and we wondered if that tailwind w  ,10
194,us senate passes a resolution saying saudi crown prince mohammed  salman is responsible for murder of jamal khas  ,10
195, it is indeed a good morning for senate republicans  ,10
196,  wild victory party in la features controversial rapper   ,10
197, we have veterans running on both sides of the aisle and why does that matter because in the fox  ,10
198, i think veterans have a great role in congress     ,10
199,  is gonna have to work across the aisle i think the place for this president to start i  ,10
200,  potus coming in to land at winfield house his base for the next couple of days the minaret of londons central mosque t,10
201, the republicans for 2020 must broaden their base the democrats their challenge is different the  ,10
202, by expanding our senate majority the voters have also clearly rebuked the senate democrats for their han  ,10
203,democratic strategist  on gop senate majority i give  credit for getting a majority in the s  ,10
204,  florida sports gambling measure passes despite nfls dolphins plea to voters  ,10
205, today is more than about democrats and republicans its about restoring the constitutions checks  ,10
206,      female firsts  100 women in the house  tn first female senator blackburn  1st muslim women electe,10
207,montana senate race too close to call  has an update     ,10
208,jonathan hunt has the latest on californias big races     ,10
209,white house asked navy to hide warship  john s mccain  ,10
210, democrats it would be a cataclysmic error to make  your next house speaker via  ,10
211, i think  has reshaped the republican party and i think he deserves credit for t  ,10
212, dems in 2020 better without nancy  ,10
213, gavin newsom elected california governor  ,10
214,  orourke falls to cruz despite 70 million fundraising windfall  ,10
215,  2018 midterm election us enters longest business cycle ever analyst says  ,10
216, ive never seen so much interest in the midterm election in this country and i think the conclusi  ,10
217,president  called tuesdays midterm election results a tremendous success as the republicans mai  ,10
218,race for wisconsin governor too close to call  reports from waukesha wi midterms2018  ,10
219,  senate democrats in states trump won in 2016    won reelection   baldwin    brown    casey    manchin wv,10
220, on democrats gaining house control a democratic congress will work for solutions that bring us toge  ,10
221,ca senator dianne feinstein makes remarks after she is projected to defeat state senator kevin de leon a fellow de  ,10
222,democrat rep beto orourke makes remarks after he was projected to lose the texas senate race to incumbent republi  ,10
223,the fox news decision desk can now project that republican south dakota congresswoman  will defeat democ  ,10
224,the fox news decision desk can now project that republican governor rick scott will oust democratic senator bill ne  ,10
225,  trumps recent attacks on sessions  811 scared stiff mia  823 never took control of doj  825 doesnt understand w,10
226, we saw the candidates that i supported achieve tremendous success last night    ,10
227, the clear loser last night was chuck schumer  ,10
228,just in republican josh hawley projected to defeat  claire mccaskill in missouri senate race  ,10
229,the fox news decision desk projects that incumbent washington state democratic senator maria cantwell will win a fo  ,10
230,the fox news decision desk projects that california senator dianne feinstein will defeat democratic state senator k  ,10
231,incumbent gop sen ted cruz makes remarks after he was projected to hold onto his seat in congress and defeat democ  ,10
232,  nicole dennisbenn talks to  about her new book patsy loving jamaica but also facing the reasons she left it,10
233,ellen ratner  was gonna loseit was very clear that the reason she felt comfortable voting agains  ,10
234, the reason we won is i think kavanaugh united our party    ,10
235, we had a good night in the senate    ,10
236,breaking the republicans are projected to maintain their partys control of the senate a victory for president tr  ,10
237,the fox news decision desk projects that democratic california lieutenant governor gavin newsom will defeat republi  ,10
238,the new york police department gathered about 20 saluting officers and held an aviation flyover to honor an emergen  ,10
239, individuals want to see washington dc work in a way that is going to lead us to a government  ,10
240,the west wing of the  at sunset on election day in washington dc   ,10
241, trump closed the deal for in gops mike braun  ,10
242,breaking news republican mike braun is projected to defeat incumbent democrat sen joe donnelly in the indiana sen  ,10
243,incumbent democratic senator joe manchin makes remarks after he was projected to keep his seat in congress and defe  ,10
244,the fox news decision desk projects that republican businessman kevin stitt will succeed termlimited republican ok  ,10
245,the fox news decision desk can now project that democratic minnesota senator tina smith will win election to fill t  ,10
246, so far we feel good about where we are but still a long night to go   ,10
247,vehicles pass the us capitol on election night on tuesday in washington dc   ,10
248, you cant go anywhere without hearing people say how great the economy is going midterms2018  ,10
249,opinion  midterm elections prove trumps critics still underestimate him as blue wave becomes a ripple  ,10
250, if midterm elections give democrats a house majority far left will chair key committees  ,10
251,us will repeal or deny visas to international criminal court staff seeking to investigate americans and may take s  ,10
252,  stocks rally as americans vote   ,10
253,a live look at the balance of power in the house and senate as election results come in    tune in to fox news chann  ,10
254, has a look at the key house races as the polls begin to close on electionday  ,10
255,a live look at the balance of power in the house and senate as election results come in    tune in to fox news chann  ,10
256,live blog follow fox news 2018 midterm  live updates as key house senate and gubernatorial race resu  ,10
257,  women make up about half of the population but female animals make up a far smaller percentage of biomedical research subj,10
258, no president in my memory maybe if ever has ever made himself as much the center of a midterm electio  ,10
259,tune in to fox news channel now for special  coverage anchored by  and   ,10
260, the midterm elections used to be like boringnow its like the hottest thing midterms2018  ,10
261,this electionday voters are covering susan b anthonys grave in rochester new york with their i voted sticker  ,10
262,demi lovato breaks her social media silence encourages fans to vote i am so grateful to be home   ,10
263,voting problems  voters across several states report long lines machine issues and more  ,10
264,  risking censorship and their own safety to poke fun at the powerful  meet iraqs new breed of satirists   ,10
265,  us midterms trump military funding on chopping block  ,10
266,  roberto bautista agut wins     the spaniard takes victory over andy murray 64 64 67 57 67 47 62    and there ends a,10
267, i feel confident that we will win its just a question of what the size of the victory is  ,10
268,opinion  dont like trump vote for democrats this election day via   ,10
269,marie harf democrats have been waiting for this day for two years     ,10
270,voting underway in crucial     ,10
271,its electionday and theres only one place to be  fox news channel tune in for live  coverage anch  ,10
272,homeland security monitoring    ,10
273,  the federal safety net that many single mothers rely on is disintegrating at the state and local level though new policies,10
274, the 2018 midterm elections arent just about candidates theyre also about respect sovereignty rule  ,10
275, theres no question that the senate has not been willing to fill enough positions for the president  ,10
276, we were committed to our message     ,10
277,opinion  midterm elections  democrats closing message is clear go vote via   ,10
278,  rick scott socialism will not happen in our nation and its not going to happen under my watch  ,10
279,  rick scott socialism will not happen in our nation and its not going to happen under my watch  ,10
280,   this countrys winning we are winning as a nation again  ,10
281,  midterms and the economic issues at stake   ,10
282, on the mueller probe two years is a long time to look for a crime you cant prove   ,10
283,   2018    infrastructure at the polls    41 states use computerized voting machines that are 10 years old,10
284,   2018    race for the house    current   235 republicans   193 democrats   7 vacancies    democrats need a,10
285,  after midterms stocks could pop 20  ,10
286,   i think americas more patriotic right now than its ever been  ,10
287, on  our economy is winning our military is winning our veterans are winning were wi  ,10
288, on  theres quantifiable change towards the republican party when the president g  ,10
289,  west virginia is allowing military residents to cast ballots using their smartphones   ,10
290,racist who orchestrated one of the most gruesome hate crimes in recent us history has been executed in texas for th  ,10
291, on  if you just go by history what democrats should expect to get tonight is 28 seat  ,10
292,opinion  midterm elections  these are the two things that get every voter to the polls via  ,10
293,  british steel to enter insolvency putting 5000 uk jobs directly at risk and a further 20000 in the supply chain https,10
294, going into this election i think overall the republicans have done a great job and they deserve t  ,10
295, what you dont hear interestingly enough going into these final days of the election you don  ,10
296,wallin on 3rdparty candidates libertarian candidatestend to historically chip away at republican candidate capa  ,10
297,republican strategist justin wallin on early voting for midterms i think that its going to impact republicans th  ,10
298, on  a lot of these races are very close people have to get out and vote  ,10
299, when you get away from the sort of personality roughness and things that offend people the truth is pr  ,10
300,  todays russian papers suggest problems ahead for the authorities  mood in society radicalized  trust in putin at 13y,10
301, there are serious problems with obamacare and i think were going to have to obviously now try to  ,10
302, on  wages are going up unemployments the lowest ever our country is doing awesome  ,10
303, americans want their country back they want their government to represent them and they have felt  ,10
304,  breaking violence amid protests and clashes at venezuelas borders as efforts ramp up to force foreign humanitarian aid into t,10
305,   immigration was still an enormous issue especially border security so thatll be important for me htt,10
306, on  focus on immigration when it comes to this argument that he is fearmongering about il  ,10
307, were good in the senate theres simply no doubt about that i think we get to 55 if not great  ,10
308,on  carlson tonight us senate candidate  discussed his race to unseat michigans democratic  ,10
309,  al  photo wins the cheltenham gold cup         reaction      ,10
310,pete davidsons snl castmate kenan thompson talks dan crenshaw joke they are figuring out a way to right that w  ,10
311, on speaking with  we discussed ways we might be able to find a way forward  ,10
312, on snl mocking  pete davidson might have done him a favor may have sealed his el  ,10
313,  flooding has triggered emergency and disaster declarations throughout the midwest    nebraska for example is grappling w,10
314,flooding has triggered emergency and disaster declarations throughout the midwest    nebraska for example is grapp  ,10
315, catch and release visa lottery  all of these laws are a disaster we have the worst laws weve got to  ,10
316,  gone  its all over    ben stokes takes the wicket tahir goes for 0  c root b stokes     sa 207    england have won their o,10
317, we have to be able to make it very clear to the entire public that lying to congress is a felony  ,10
318, races could swell army of lawyers suing trump as dems vow to take on president  ,10
319,watch president trump and first lady melania trump participate in wreath laying ceremony at grave of the unknown w  ,10
320,  attention a  team headed by  is being arbitrarily detained at the miraflores palace in carac,10
321,  highquality film of queen victoria on her last trip to ireland has been rediscovered and it shows clearer detail than ever be,10
322,its not a coincidence that there are 4 foreign trips its a deliberate attempt to show him president trump l  ,10
323,  watch prince charles greets president trump upon arrival at buckingham palace followed by a greeting with the queen  ,10
324,live now on     the queen hosts a formal welcome ceremony for president trump and the first lady at buck  ,10
325,  the president and first lady meet queen elizabeth at buckingham palace  ,10
326,live now on     royal family welcomes president trump at buckingham palace for a state visit to the uk  ,10
327,  president trump has kicked off his arrival in the uk this morning with 2 tweets focused on ad hominem insults of londons mayor,10
328,  her year    johanna konta is doing all the right things as she heads to roland garros according to      more h,10
329,this is a slowmotion disaster  reports from little rock arkansas where the arkansas river has h  ,10
330, kellyanne conway reflects on ethics law blah blah blah   ,10
331,zimbabwe was under an internet blackout friday as authorities extended a communications ban to cover emails after d  ,10
332,watch  this president swears in public  a lot  ,10
333,  president of planned parenthood  im very concerned that right now we are in a state of emergency over womens he,10
334,  president trump and the first lady are en route to the uk for a weeklong visit with stops in london and ireland as well,10
335,  president trump and the first lady are en route to the uk for a weeklong visit with stops in london and ireland as well,10
336,tonight at 9 pm et on      examines how special counsel muellers first public words in 2 years h  ,10
337,  tomorrow pete buttigieg joins hardball live from fresno california for a hardball town hall tune in at 7 pm et are you in,10
338,tonight at 9 pm et on      examines how special counsel muellers first public words in 2 years h  ,10
339, following pres trump sen graham changes his mind about tariffs   ,10
340, remember when pres trump said hed revoked john brennans security clearance  ,10
341, donald trump ruins sumo  ,10
342,   was birtherism racist  jared kushner i wasnt really involved in that  swan i know you werent was it racis,10
343,what can i say i didnt know that she was nasty president trump said of meghan markle in an interview with the  ,10
344,  should trump be impeached    among democrats 76      ,10
345,   with  starts right now on  lets get our hashtag trending reiders  ,10
346, you take the word impeachment and you change it to criminal activity   ,10
347,  remember when  impeachment discourse in 1998   ,10
348, we categorically deny that mr kraft engaged in any illegal activity because it is a judicial matter we wi  ,10
349, you take the word impeachment and you change it to criminal activity   ,10
350,  breaking  special report mexican drug lord joaquín el chapo guzmán found guilty in us trial   ,10
351, stepping down robert mueller delivers a message pres trump didnt want to hear  ,10
352,a new study finds that racial prejudice has decreased since pres trump took office     trump forces p  ,10
353, following pres trump sen graham changes his mind about tariffs   ,10
354,  just in council of economic advisers chairman kevin hassett leaving his role pres trump announces on twitter adding th,10
355,  just in council of economic advisers chairman kevin hassett leaving his role pres trump announces on twitter adding th,10
356,   many people want to work in  administration  ,10
357, remember when pres trump said hed revoked john brennans security clearance  ,10
358,  i actually talk to a lot of trump voters   the tweets wear on them too    jennifer palmieri    former obama amp,10
359,election day sees thunder snow amp tornadoes in different parts of the us  has this mornings weather fo  ,10
360,fmr fbi deputy dir mccabe says on  what has been billed as no collusion no obstruction should pro  ,10
361,tonight at 9 pm et on      examines how special counsel muellers first public words in 2 years h  ,10
362,sunday at 9 pm et on      examines how special counsel muellers first public words in 2 years ha  ,10
363,  sen harris husband also jumped on stage to assist security during this incident  ,10
364, now is the time for members of both parties to join together put partisanship aside and keep the america  ,10
365,a wave of laws passed in 2019 puts a new spotlight on one of the most divisive issues in america abortion       ,10
366,watch  this president swears in public  a lot  ,10
367,this parade really is important because of all the kids who dont have supportive homes and they need to get it s  ,10
368,sampp 500 and nasdaq rallied tuesday to notch record closing highs as wall street cheered strongerthanexpected qua  ,10
369,democratic strategist  what we need is not a wall  and not a wall that we cant afford  but comp  ,10
370,meghan mccain responds to a wall street journal report that the uss john mccain was requested to be moved out of s  ,10
371,sunday at 9 pm et on      examines how special counsel muellers first public words in 2 years ha  ,10
372, you take the word impeachment and you change it to criminal activity   ,10
373,  president trump is at trump national golf club in sterling virginia this morning,10
374,  president trump is at trump national golf club in sterling virginia this morning,10
375,you can listen to a free preview of  on siriusxm ch 118 in your car online or on the siriusxm app until ju  ,10
376,you can listen to a free preview of  on siriusxm ch 118 in your car online or on the siriusxm app until ju  ,10
377,  live officials provide update on virginia beach shooting  ,10
378,its electionday and theres only one place to be  fox news channel tune in for live  coverage anch  ,10
379,  ahead of   from 600 to 800 pm et ill anchor two hours of special coverage on  on the,10
380, senate majority leader mcconnell seeks contributions for his supreme court brazenness  ,10
381, senate majority leader mcconnell seeks contributions for his supreme court brazenness  ,10
382,  police the gunman a longtime employee of public utilities entered the bldg and immediately began firing at victims on multip,10
383,police the gunman a longtime employee of public utilities entered the bldg and immediately began firing at vict  ,10
384,sunday at 9 pm et on      examines how special counsel muellers first public words in 2 years ha  ,10
385,the us navy has acknowledged that a request was made to hide the uss john s mccain during president donald trumps  ,10
386,  watch fmr homeland security secretary  johnson on president trumps plan to impose new tariffs on mexico i dont b,10
387, following pres trump sen graham changes his mind about tariffs   ,10
388, following pres trump sen graham changes his mind about tariffs   ,10
389, kellyanne conway reflects on ethics law blah blah blah   ,10
390, kellyanne conway reflects on ethics law blah blah blah   ,10
391, kellyanne conway reflects on ethics law blah blah blah   ,10
392,the tariffs would affect a range of products and industries the top imports from mexico include transportation equ  ,10
393,watch  has the latest on how the democratic candidates are doing with voters   ,10
394,  chuck rosenberg the president cant be charged by policy but if you or i did things that the president did wed be in,10
395,this weeks theoath with chuck rosenberg features sally yates    listen on     ,10
396,watch a preview of  interview with  on  the first family and get an indep  ,10
397,  tune in tonight at 8 pm et for  interview with  on    ,10
398,you can listen to a free preview of  on siriusxm ch 118 in your car online or on the siriusxm app until ju  ,10
399,president trump tweets that the us will impose a 5 tariff june 10 on all goods coming into the us from mexico un  ,10
