clusterno,topic,tweet
95,Environment,a queer feminist rapper  a percussionist who is the star of every stage hes ever been on  a subway dancer who daz  

96,Environment,the golden state warriors swung back in a big way to smother the toronto raptors in the second half evening the fi  

97,Law_Crime,  measles was eliminated in the united states in  but federal health officials said the continuing outbreak could make th

99,Business_Finance,  when did fish first evolve the ability to swim as a school its a mystery but fossils like this one and others could prov

103,Human Interest,in opinion     writes worry about facebook sure but not at the risk of overlooking a more clear and prese  

104,Politics,   everyone  here to live tweet our way through game  of the finals my bosses tell me im not allowed to disc

105,Entertainment_Culture,  the new england patriots are super bowl champions       they make history with a recordequalling sixth  win 

106,Politics,  the first thing i said after the miscarriage as i buried my face into my husbands chest was we told so many people

107,Business_Finance,the opioid crisis claimed the life of a yearold boy who died from a mixture of fentanyl and heroin his mother w  

108,Health_Medical_Pharma,robert mueller making his first public statement in  years said that charging a sitting president was never an o  

110,Entertainment_Culture,breaking news the special counsel robert mueller said his russia report is my testimony and he would not go beyo  

111,Law_Crime,  just in national security adviser bolton announces defense cooperation agreement dca with uae has gone into force aime

113,Human Interest,  france is outsourcing to iraq the trials of  citizens who fought with the islamic state seven have been tried all wer

115,Politics,us defense chief says no need to restore suspended ussouth korea military drills    

116,Social Issues,  what makes a beach vacation spot perfect the waves the vibe the soft serve in a special print section this sunday

117,Health_Medical_Pharma,  golf suspended haney says he was right about lee win at us open    

121,Environment,  blackstone deal stacks glp closer to china ipo says      

123,Education,  when the trade war first broke out manufacturers mostly tried to ride it out but as it drags on  and shows no signs o

124,Politics,lvmhs sephora beauty chain to shut us stores for day of diversity training after racial incident involving a gra  

125,Health_Medical_Pharma,see more about our debut episode which will air sunday on  and monday on  our reporters uncover t  

126,Sports,factbox blood and treasure or fantasy  what is the ukus special relationship    

127,Hospitality_Recreation,take five big themes likely to dominate thinking of investors and traders in the coming week and the  stor  

128,Politics,usbased engineers body lifts curbs on huawei employees    

129,Health_Medical_Pharma,why are yankees players always staring inside their caps its an oldschool solution for all of the information th  

130,Health_Medical_Pharma,the uaes ruler became the most powerful in the arab world by following americas lead now he has his own agend  

131,Disaster_Accident,serena knew she had no chance at french     

132,Business_Finance,a zipline flight from paris iconic eiffel tower is offering thrillseekers a chance to see the city from above mo  

133,Education,watch avocados cars and electronics   my  explains how the new tariffs enforced on china and mexico  

135,Business_Finance,icymi spacex falcon  rocket blasts off from florida on mission to carry first starlink internet satellites into o  

136,Health_Medical_Pharma,nancy pelosi rebuked facebook saying its refusal to remove altered videos of her showed how the firm enabled russi  

137,Entertainment_Culture,serena knew she had no chance at french     

139,Sports,icymi mackenzie bezos former wife of amazon founder jeff bezos pledges to give half of her  billion amazon fo  

140,Religion_Belief,seven south korean tourists have died and another  people are missing after a boat sank on the danube river in bu  

141,War_Conflict,icymi at an auction at christies asia a rare bubble gum pink diamond was sold to an anonymous collector for ov  

145,Human Interest,  turn out the lights kyle lowry ices it only his second bucket of the game remarkable win for toronto

146,Hospitality_Recreation,  niki lauda world champion lewis hamilton pays tribute to bright light in my life  

149,Politics,and there we have confirmation of splashdown dragon has returned to planet earth     watch the moment  capsu  

151,Politics,  early penalty had massive impact says pochettino    

152,Other,representative alexandria ocasiocortez who has often cited her former restaurant job to emphasize her roots moun  

155,Hospitality_Recreation,kim yongchol purged n korean diplomat appears with kim  

157,Entertainment_Culture,the costs of the higher tariffs will ultimately end up socking the american consumer in the wallet  expl  

158,Sports,are we going to go back to the days of backalley abortions women died before we had  v wade in place kamal  

159,Hospitality_Recreation,  he said hed get his students into top colleges he used fear violence and lies our reporters went to louisiana to talk t

160,Law_Crime,   my     ajax have absolutely stunned real madrid to knock them out of the ucl     report    

161,Entertainment_Culture, youll never catch me    tattooed model mocks arrest warrant in australia  

162,Sports,jailed reuters journalists wa lone and kyaw soe  are freed in myanmar after amnesty  

167,Politics,the corporate home of wonder woman harry potter and friends weighs how its streaming service can compete on pric  

169,Health_Medical_Pharma,4 years after his sons death joe bidens family tragedies have helped him connect with voters grappling with thei  

171,Politics,  caster semenya has filed an appeal in response to losing her case against restricting testosterone levels in female runners

173,Entertainment_Culture,  scott warren is facing  years in prison his crime providing food and water to migrants in arizonas deadliest dese co

175,Social Issues,on   beijings threats may soon come in bigger packages says     

177,Education,frances  creator on trial for defaming man she accused  

178,Law_Crime,  new how faulty assumptions led to  deaths the definitive story on how boeing designed a flawed system that helped br

179,Social Issues,robots used to teach languages to children in southern finland are being engineered to also read their emotions th  

180,Business_Finance,  guardsmen faint during rehearsals ahead of the queens birthday parade in london next week more photos of the day ht

181,Health_Medical_Pharma,  the number of  people at work has doubled in the uk in last yrs today on  we want know when do you want

182,Sports,  tracey neville to stand down as england coach after world cup    

184,Sports,can taste testers tell the difference between a  cup of coffee and a  one and why does it cost that much   

185,Human Interest,  no one is going to invite you to take pa  you have to invite yourself     this is rakhia ismail  she is thought to be the

186,Human Interest,not since the  primary have democratic presidential candidates held a prolonged discussion about restricting gu  

191,Politics,  as of last month mick jagger and keith richards signed over all their publishing for bittersweet symphony which was a truly

194,Law_Crime,supporters of narendra modi celebrate as indias pm secures another fiveyear term in landslide general election wi  

199,War_Conflict,  prime minister narendra modi broke his silence on twitter as the bjp continued to show a commanding lead electionresults201

202,Sports,  wenger or ferguson    robin van persie had some tough questions to answer   

203,Health_Medical_Pharma,  homeless teenager gets m in college scholarships  

207,Health_Medical_Pharma,  broadways box office has been booming for six years now attendance is surging too thanks to rising tourism in nyc

212,Politics,Acting Pentagon chief says no need to restore suspended USSouth Korea military drills    

214,Hospitality_Recreation,RT caitlinroper What makes a beach vacation spot perfect The waves The vibe The soft serve In a special print section this Sunday

215,Sports,RT ReutersSports Golf Suspended Haney says he was right about Lee win at US Open    

216,Sports,Serena Williams may seek grasscourt wildcard ahead of Wimbledon More here   RG19  

221,Human Interest,Liverpool given a heros welcome as the Champions League winners go on a celebratory opentop bus parade through th  

222,Business_Finance,RT Breakingviews Blackstone deal stacks GLP closer to China IPO says AlecMac11     

230,Hospitality_Recreation,RT bencasselman When the trade war first broke out manufacturers mostly tried to ride it out But as it drags on  and shows no signs o

