EventID	Description	Category
10332	"The tweets are about the vp debate and a statement by Biden."	"Elections"
10332	"vice presidential debate"	"Elections"
10332	"vice presidential debate"	"Elections"
10332	"vice presidential debate"	"Elections"
10334	"The event is the vp debate."	"Elections"
10334	"Joe Biden's performance during the Vice Presidential Debate."	"Elections"
10334	"2012 Presidential and Vice-Presidential Debates"	"Elections"
10336	"VP DEBATE RYAN VS BIDEN"	"Political and Diplomatic Meetings"
10336	"vice presidential debate"	"Elections"
10336	"The VP national debate between Biden and Ryan"	"Elections"
10337	"Leaving in 2014"	"Political and Diplomatic Meetings"
10337	"VP Biden on Afghanistan Debate"	"Elections"
10337	"Biden says US leaving Afghanistan in 2014 at debate."	"Elections"
10337	"leaving afganistan in 2014 vp debate"	"Elections"
10338	"Their talking about abortion at the vp debate."	"Elections"
10338	"abortion section of vice presidential debaye 2012"	"Elections"
10338	"The topics of abortion and religion during the Vice Presidential Debate."	"Elections"
10338	"abortion debate"	"Political and Diplomatic Meetings"
10340	"The tweets are about the vp debate and the topic of religion."	"Elections"
10340	"seperation of church and state"	"Political and Diplomatic Meetings"
10340	"VP DEBATE SEPERATION OF CHURCH AND STATE"	"Political and Diplomatic Meetings"
10341	"vice presidential debate"	"Elections"
10341	"vice presidential debate"	"Elections"
10341	"Ryan talks about abortion at vp debate."	"Elections"
10343	"The European Union awarded the Nobel Peace Prize."	"Miscellaneous News"
10343	"People discussing the Nobel Peace Prize."	"Miscellaneous News"
10343	"NOBEL PRIZE PEACE"	"Science and Discovery News"
10346	"It was an attempt at a freefall record."	"Sports News"
10346	"felix baumgartner breaks world record free fall"	"Sports News"
10346	"redbull stratos jump"	"Science and Discovery News"
10346	"The freefall record dive by Felix Baumgartner."	"Miscellaneous News"
10346	"Felix breaking record"	"Celebrity and Human Interest News"
10348	"DALLAS (AP) — A Dallas woman who beat her 2-year-old daughter and glued the toddler's hands to a wall was sentenced Friday to 99 years in prison by a judge who described his decision as a necessary punishment for a brutal, shocking attack."	"Legal/Criminal Cases"
10348	"They discuss about the event  they learnt from Reuters"	"Miscellaneous News"
10348	"The tweets talk about a crime."	"Legal/Criminal Cases"
10351	"The event is a fight between Silva and Jones."	"Sports News"
10351	"ufc fighter anderson silva"	"Sports News"
10351	"UFC middleweight contender Vitor Belfort doesn't see the point in having divisional top dog Anderson Silva fight welterweight champion Georges St-Pierre, but he believes Silva vs. Jon Jones is at least logical"	"Sports News"
10356	"Cardinals play the Nationals and win 2012"	"Sports News"
10356	"Cardinals winning a big game at the end."	"Sports News"
10356	"Cardinals coming back to win against the nationals game 5 in the MLB playoffs"	"Sports News"
10356	"An MLB playoff game between the Washington Nationals and the St. Louis Cardinals."	"Sports News"
10363	"St. Louis Cardinals win their National League Divisional Series agains the Washington Nationals."	"Sports News"
10363	"13 Oct 2012 – Cardinals are heading to the NLCS"	"Sports News"
10363	"mlb team arizona cardinals win game"	"Sports News"
10364	"Release of Taylor Swift's album, Red."	"Miscellaneous News"
10364	"Taylor Swift new album coming out."	"Celebrity and Human Interest News"
10364	"New taylor swift album release"	"Celebrity and Human Interest News"
10365	"A man jumping from 125000 feet"	"Miscellaneous News"
10365	"red bull stratos jump"	"Science and Discovery News"
10365	"Felix Baumgartner jumps from space to set new world record"	"Miscellaneous News"
10365	"The event is Felix Baumgartner's jump from space."	"Miscellaneous News"
10367	"Felix jumps live from the edge of space."	"Sports News"
10367	"Felix Baumgartner's jump from outer space."	"Miscellaneous News"
10367	"felix baumgartner free falls from space"	"Sports News"
10367	"Felix Baumgartner sets a record."	"Sports News"
10382	"LSU beats South Carolina 23-21 in a football game."	"Sports News"
10382	"South Carolina lost"	"Sports News"
10382	"college football"	"Sports News"
10385	"Eagle's game"	"Sports News"
10385	"Discussing an Eagle game. "	"Sports News"
10385	"eagles game"	"Sports News"
10399	"Derek Jeter's broken ankle"	"Celebrity and Human Interest News"
10399	"Derek Jeter breaks his ankle"	"Sports News"
10399	"The tweets discuss a sports injury."	"Sports News"
10399	"derek jeter broken ankle"	"Sports News"
10402	"New York Yankees losing a playoff baseball game in which Derek Jeter was injured."	"Sports News"
10402	"Derek Jeter injury"	"Sports News"
10402	"The yankees lose a game and derek jeter is injured"	"Sports News"
10402	"Jeter got injured"	"Sports News"
10412	"They were discussing about Jeet  American football player."	"Sports News"
10412	"Derek Jeter broke his ankle."	"Sports News"
10412	"Jeter got injured"	"Sports News"
10412	"derek jeter ankle fracture"	"Sports News"
10413	"Red Bull Stratos Project"	"Miscellaneous News"
10413	"The space jump done by Felix Stratos presented by Red Bull."	"Miscellaneous News"
10413	"about Felix Baumgartner"	"Miscellaneous News"
10413	"Red Bull Stratos Jump with Felix Baumgartner"	"Science and Discovery News"
10419	"The space jump"	"Miscellaneous News"
10419	"Man does parachute jump from the edges of space."	"Miscellaneous News"
10419	"the man that jumped to earth from space."	"Miscellaneous News"
10422	"Live jump of Felix"	"Miscellaneous News"
10422	"Felix Baumgartner "	"Celebrity and Human Interest News"
10422	"ABOUT THE FELIX"	"Miscellaneous News"
10422	"Felix highest parachute jump"	"Miscellaneous News"
10422	"about Felix jumping from parachute"	"Miscellaneous News"
10424	"red bull stratos jump"	"Science and Discovery News"
10424	"The Redbull Stratosphere Live Jump."	"Sports News"
10424	"red bull stratos jump"	"Science and Discovery News"
10424	"They are referring to Felix Baumgartner's jump to the earth from outer space."	"Miscellaneous News"
10425	"Felix Baumgartner redbull stratos event jump"	"Miscellaneous News"
10425	"red bull stratos jump"	"Science and Discovery News"
10425	"The Redbull Stratos jump was a space diving event.  Felix Baumgartner flew many miles into the air above the southwestern U.S. and then jumped, breaking several world records."	"Miscellaneous News"
10427	"the tweets discuss the space jump."	"Science and Discovery News"
10427	"red bull stratos jump"	"Science and Discovery News"
10427	"Felix Baumgartner highest skydive"	"Miscellaneous News"
10427	"Felix Baumgartner"	"Science and Discovery News"
10428	"People watching the Redbull Space Jump"	"Sports News"
10428	"It is discussing the recent skydive/freefall world record that was set where the guy jumped from space"	"Science and Discovery News"
10428	"felix baumgartner free falls from space"	"Sports News"
10430	"Felix Baumgartner"	"Sports News"
10430	"Felix Baumgartner jumping 23 miles from space"	"Miscellaneous News"
10430	"Felix Baumgartener making the high-altitude jump from 23 miles above the Earth."	"Miscellaneous News"
10431	"red bull stratos"	"Science and Discovery News"
10431	"felix baumgartner free falls from space"	"Sports News"
10431	"red bull stratos jump"	"Science and Discovery News"
10431	"Felix Baumgartener making the high-altitude jump from 23 miles above the Earth."	"Miscellaneous News"
10431	"Felix Baumgartner jumping off from the space"	"Miscellaneous News"
10432	"ABOUT Felix Baumgartner"	"Sports News"
10432	"red bull stratos jump"	"Science and Discovery News"
10432	"Felix Baumgartner is ready to jump from a height that no one has ever done."	"Sports News"
10434	"felix baumgartner free falls from space"	"Sports News"
10434	"A record setting space dive by Felix Baumgartner that took place many miles above the Southwester U.S."	"Miscellaneous News"
10434	"redbull stratos jump"	"Science and Discovery News"
10434	"felix baumgartner performing a live jump"	"Sports News"
10436	"Felix Baumgartner skydives from space"	"Miscellaneous News"
10436	"first fall from space"	"Miscellaneous News"
10436	"redbull stratos jum["	"Science and Discovery News"
10437	"The Felix Baumgartner space jump."	"Science and Discovery News"
10437	"felix baumgartner free falls from space"	"Sports News"
10437	"Felix Baumgarter jumping from space and tweeting."	"Celebrity and Human Interest News"
10438	"felix baumgartner free falls from space"	"Sports News"
10438	"Felix Baumgartner completes record-setting space jump"	"Miscellaneous News"
10438	"red bull stratos jump"	"Science and Discovery News"
10438	"Felix Baumgartner makes a landing."	"Sports News"
10441	"felix space jump"	"Sports News"
10441	"Felix Baumgartener making the high-altitude jump from 23 miles above the Earth."	"Miscellaneous News"
10441	"A guy made a jump from the edge of the atomosphere to the ground, the "space jump"."	"Miscellaneous News"
10441	"About Felix's space jumping"	"Sports News"
10442	"red bull stratos jump"	"Science and Discovery News"
10442	"Tweets are about space jump interesting thing about jump.Wonder how That jump was amazing"	"Scandals/Hearings"
10442	"Fleix's 39K foot freefall jump"	"Miscellaneous News"
10443	"Ray Lewis injured for the year"	"Sports News"
10443	"Ray Lewis out for the year in NFL"	"Sports News"
10443	"ray lewis injury"	"Sports News"
10448	"About the winning of Seahawks."	"Sports News"
10448	"About the seahawks"	"Sports News"
10448	"They discuss about the American football team Seahawks."	"Sports News"
10450	"Ray Lewis being out the rest of the season with a torn triceps."	"Sports News"
10450	"Ray Lewis out for the season"	"Sports News"
10450	"Ray Lewis injury"	"Sports News"
10450	"ray ewis injury"	"Sports News"
10450	"Ray Lewis is out for the season."	"Sports News"
10456	"aaron rogers 6 touchdowns"	"Sports News"
10456	"All about Aaron Rodgers' six touchdown performance."	"Sports News"
10456	"aaron rogers 6 touch downs"	"Sports News"
10456	"All about Aaron Rodgers' six touchdown performance."	"Sports News"
10458	"Ray Lewis tore a tricep muscle out for possibly a year and maybe career."	"Sports News"
10458	"Reaction to Ray Lewis being out with a torn triceps."	"Sports News"
10458	"Ray Lewis' injury puts him out"	"Sports News"
10458	"Reaction to Ray Lewis being out with a torn triceps."	"Sports News"
10459	"Sports match"	"Sports News"
10459	"Spain versus France in a World Cup qualifying game"	"Sports News"
10459	"Spain vs France Football Game"	"Sports News"
10469	"The Chargers blowing a 24-point lead in a football game."	"Sports News"
10469	"chargers vs broncos game"	"Sports News"
10469	"sports match is discussed by these tweets."	"Sports News"
10471	"Portugal vs Northern Ireland soccer match ends in a tie"	"Sports News"
10471	"Portugal Northern Ireland match"	"Sports News"
10471	"Sports match"	"Sports News"
10476	"sports match is discussed"	"Sports News"
10476	"football game"	"Sports News"
10476	"chargers lost in a game and the people who tweeted it doesnt like it."	"Sports News"
10476	"Chargers vs Broncos football game"	"Sports News"
10477	"Broncos versus Chargers game"	"Sports News"
10477	"chargers football game"	"Sports News"
10477	"football game"	"Sports News"
10477	"Broncos versus Chargers game"	"Sports News"
10477	"The Chargers lost a game to the Broncos."	"Sports News"
10479	"Reactions about the Devnver Bronco and San Diego Charger football game."	"Sports News"
10479	"football game"	"Sports News"
10479	"broncos football game"	"Sports News"
10479	"sports match is discussed."	"Sports News"
10480	"Chargers vs Broncos game."	"Sports News"
10480	"peyton manning broncos"	"Sports News"
10480	"broncos vs chargers"	"Sports News"
10480	"football game"	"Sports News"
10480	"Reactions about the Devnver Bronco and San Diego Charger football game."	"Sports News"
10490	"Reaction to Mitt Romney's binders full of women comment during a Presidential Debate."	"Elections"
10490	"Reaction to Mitt Romney's binders full of women comment during a Presidential Debate."	"Elections"
10490	"The tweets are about the presidential debate and Romney."	"Elections"
10490	"Presidential debate and Romneys comment about "binders of women""	"Elections"
10490	"Women having abortions callled as binders by romney. "	"Elections"
10490	"Romney's Binders full of women comment in the 2012 election"	"Elections"
10490	"Romney reference to having "binders full of women" during Presidential debate."	"Elections"
10491	"The annoucement of Tina Fey and Amy Poehler hosting the 70th Golden Globes Awards."	"Celebrity and Human Interest News"
10491	"The annoucement of Tina Fey and Amy Poehler hosting the 70th Golden Globes Awards."	"Celebrity and Human Interest News"
10491	"Tina Fey and Amy Poehler co host golden globes"	"Celebrity and Human Interest News"
10491	"Tina Fey and Amy Poehler hosting the 70th annual Golden Globe Awards "	"Celebrity and Human Interest News"
10491	"Golden Globe Awards"	"Celebrity and Human Interest News"
10491	" Golden Globe Awards"	"Celebrity and Human Interest News"
10495	" Philip Rivers in a  Broncos game"	"Sports News"
10495	"Reactions to the Denver Broncos big comeback win over the San Diego Chargers."	"Sports News"
10495	"Reactions to the Denver Broncos big comeback win over the San Diego Chargers."	"Sports News"
10495	"The Broncos won a game."	"Sports News"
10497	"The Presidential debates and Candy Crowley moderating them "	"Elections"
10497	"candy crowley debate"	"Elections"
10497	"Debate between Obama and Crowley"	"Political and Diplomatic Meetings"
10497	"Comments on Candy Crowley as moderator during a Presidential Debate."	"Elections"
10499	"obama debate is being talked about."	"Elections"
10499	"obama vs romney presidential debate"	"Elections"
10499	"Obama vs Romney presidential debate"	"Elections"
10499	"The Obama Romney second debate "	"Elections"
10500	"The tweets are about the presidential debate."	"Elections"
10500	"Reactions to the squaring off between Mitt Romney and Barak Obama during Presidential Debates."	"Elections"
10500	"presidential elections is discussed"	"Elections"
10502	"Reactions to Jub Jub being found guilty."	"Miscellaneous News"
10502	"Jub found guilty."	"Legal/Criminal Cases"
10502	"Jub Jub being found guilty of murder"	"Celebrity and Human Interest News"
10502	"Reactions to Jub Jub being found guilty."	"Miscellaneous News"
10504	"About Mitt Romney's comments about cutting funding to PBS that sparked the Big Bird reaction."	"Elections"
10504	"The tweets are about the presidential debate and Big Bird."	"Elections"
10504	"Romney reference during debate to big bird and birds in general."	"Elections"
10504	"Romney quotes during the debates- talking about birds"	"Elections"
10507	"Sweden's comeback against Germany to tie the game at 4-4."	"Sports News"
10507	"The Germans and Swedes play a soccer match."	"Sports News"
10507	"Tweet refers to match between sweden vs Germany"	"Sports News"
10508	"Comments on the Philadelphia Eagles firing Defensive Coordinator Juan Castillo."	"Sports News"
10508	"Eagles fired castillo"	"Sports News"
10508	"Philadelphia Eagles Fire Defensive Coordinator Juan Castillo."	"Sports News"
10508	"Juan Castillo"	"Sports News"
10509	"Beyonce is scheduled to perform at the Super Bowl XLVII Halftime Show."	"Sports News"
10509	"the annoucement of Beyonce to perform at halftime of the Super Bowl."	"Celebrity and Human Interest News"
10509	"Beyonce's performance at Super Bowl half time show"	"Sports News"
10509	"The annoucement of Beyonce to perform at halftime of the Super Bowl."	"Celebrity and Human Interest News"
10509	"beyonce playing superbowl halftime show"	"Sports News"
10511	"The annoucement of Beyonce to perform at halftime of the Super Bowl."	"Celebrity and Human Interest News"
10511	"beyonce perfoming at super bowl"	"Sports News"
10511	"beyonce performing at super bowl"	"Sports News"
10511	"Super Bowl Halftime Show"	"Celebrity and Human Interest News"
10511	"Beyonce is scheduled to perform at the Super Bowl XLVII Halftime Show."	"Sports News"
10511	"Super Bowl Halftime Show"	"Celebrity and Human Interest News"
10512	"Romneys quotes during the debate regarding creating jobs"	"Elections"
10512	"Presidential debate between Barack Obama and Mitt Romney "	"Elections"
10512	"Debate over job creation and whether the goverment does or doesn't create them."	"Elections"
10513	"Reactions to Barak Obama's performance during a Presidential Debate."	"Elections"
10513	"Obama election debate"	"Elections"
10513	"obama debate"	"Elections"
10513	"Presidential debate"	"Elections"
10513	"Reactions to Barak Obama's performance during a Presidential Debate."	"Elections"
10515	"iPad Mini Launch event October 23"	"Miscellaneous News"
10515	"Apple iPad mini invites"	"Science and Discovery News"
10515	"Apple Computer is sending out invites to a media event on Oct. 23. They will probably announce the new iPad Mini at this event."	"Miscellaneous News"
10515	"IPad mini debut on Oct 23rd"	"Science and Discovery News"
10515	"Apple announces ipad mini"	"Science and Discovery News"
10520	"voting for romney"	"Elections"
10520	"Presidential elections and candidate Romney"	"Elections"
10520	"Regarding US elections"	"Elections"
10520	"Romney interrupting moderator during presidential debate."	"Elections"
10520	"The Presidential elections "	"Elections"
10520	"The tweets are about the presidential debate."	"Elections"
10522	"Polish not closing roof causing England game to be canceled"	"Sports News"
10522	"The Polish didn't close the stadium roof during a match."	"Sports News"
10522	"england game canceled"	"Sports News"
10522	"During the Poland vs,"	""
10527	"Germany vs Sweden"	"Sports News"
10527	"Goal scoring during a Germany-Sweden soccer match where Germany went ahead 4-0, but Sweden battled back for a 4-4 tie."	"Sports News"
10527	"Goal scoring during a Germany-Sweden soccer match where Germany went ahead 4-0, but Sweden battled back for a 4-4 tie."	"Sports News"
10527	"Germany versus Sweden in World Cup qualifying match"	"Sports News"
10527	"germany vs sweden game"	"Sports News"
10532	"Discussions on voting for Barak Obama for President based on his race."	"Elections"
10532	"Tweets refers to why people vote for obama"	"Elections"
10532	"Voting for obama"	"Elections"
10532	"Discussions on voting for Barak Obama for President based on his race."	"Elections"
10536	"Magnitude 4.5 earthquake hit Southern Maine. It was also felt in Boston."	"Natural Disaster"
10536	"Rare earthquake took place in Maine"	"Natural Disaster"
10536	"Possible Earthquake"	"Natural Disaster"
